Cluster 0 of PKA,Cluster1 of PKA,Cluster 0 of Sieve,Cluster 1 of Sieve,Cluster 0 of Photon,Cluster 1 of Photon
5440,2144,,,2176,
3232,2144,,,2144,
11072,2272,,,2113,
5088,2112,,,2112,
6816,2144,,,2272,
5536,2176,,,2113,
3232,2144,,,2144,
11200,2112,,,2144,
4960,2112,,,2145,
6815,2112,,,2144,
5472,2272,,,2144,
3296,2144,,,2144,
11103,4192,,,2272,
5088,4863,,,2144,
6815,1952,,,2528,
5472,1440,,,2113,
3264,1344,,,2176,
11232,1344,,,2240,
5056,3264,,,2175,
6688,1376,,,2144,
5599,1888,,,2144,
3296,1984,,,2144,
11104,1376,,,2272,
5088,2400,,,2176,
6656,1440,,,2144,
5536,3104,,,2144,
3264,1376,,,2176,
11167,2112,,,2176,
5089,1312,,,2144,
6688,2528,,,2144,
5472,2144,,,2272,
3264,2145,,,2112,
11136,2112,,,2145,
5024,2144,,,2112,
6816,2176,,,2208,
5536,2144,,,2112,
3329,2112,,,2144,
11296,2272,,,2145,
4992,2144,,,2272,
6720,2112,,,2144,
5536,2175,,,2528,
3328,2144,,,2112,
11136,2145,,,2144,
4993,2144,,,2176,
6719,2144,,,2144,
5536,2271,,,2144,
3264,2144,,,2144,
11263,2144,,,2145,
5024,2145,,,2304,
6784,2144,,,2144,
5472,2112,,,2112,
3392,2144,,,2144,
11008,2144,,,2144,
4992,2240,,,2144,
6592,2144,,,2144,
5536,4255,,,2113,
3328,4640,,,2272,
11232,1920,,,2176,
5056,1407,,,2111,
6720,1376,,,2144,
5536,1344,,,2112,
3296,3264,,,2144,
11072,1376,,,2112,
5087,1824,,,2112,
6784,1952,,,2304,
5568,1408,,,2144,
3168,2560,,,2560,
11296,1409,,,2144,
5056,3104,,,2112,
6752,1344,,,2176,
5440,2047,,,2112,
3328,1312,,,2177,
11104,2529,,,2144,
5088,2112,,,2176,
6879,2144,,,2271,
5568,2143,,,2144,
3264,2144,,,2144,
11201,2177,,,2143,
4993,2144,,,2144,
6784,2272,,,2176,
5504,2272,,,2144,
3360,2176,,,2176,
11041,2144,,,2240,
5183,2112,,,2144,
6752,2176,,,2144,
5536,2144,,,2175,
3296,2176,,,2112,
11168,2176,,,2144,
5088,2303,,,2144,
6752,2112,,,2144,
5472,2176,,,2272,
3296,2112,,,2144,
11072,2144,,,2496,
4992,2144,,,2144,
6720,2113,,,2144,
5664,2144,,,2176,
3232,2272,,,2176,
11232,2112,,,2144,
5056,4224,,,2143,
6688,4768,,,2144,
5503,1952,,,2272,
3199,1408,,,2112,
11104,1376,,,2144,
5280,1311,,,2177,
6656,3264,,,2176,
5537,1376,,,2176,
,1856,,,2144,
,1951,,,2144,
,1376,,,2240,
,2464,,,2176,
,1376,,,2144,
,3168,,,2176,
,1344,,,2113,
,2112,,,2144,
,1311,,,2113,
,2528,,,2176,
,2144,,,2272,
,2144,,,2145,
,2144,,,2528,
,2144,,,2145,
,2112,,,2176,
,2144,,,2176,
,2144,,,2144,
,2272,,,2176,
,2111,,,2112,
,2112,,,2143,
,2144,,,2272,
