max_pool,bn_fw_inf,unrolled_elementwise,elementwise_grid_stride,sgemm_128x64_nn,sgemm_64x64_nn
19168,3456,2240,60192,12064,6976
19296,16991,2432,58399,30208,7039
19328,6016,2143,66719,30368,7008
19104,3456,2463,60832,12128,6976
19296,6080,2207,60192,30400,6816
19360,3488,2432,65728,30495,6976
19264,5856,2144,59295,11968,6944
18944,3392,2464,57120,30272,7008
19264,16704,2400,68767,30464,6912
19071,6144,2432,60639,11967,7007
19135,3391,2144,66655,30432,6976
19200,5887,2112,66527,30240,6816
19136,3456,2400,57663,12160,6752
19104,5760,2176,64288,30560,6816
19200,3457,2464,62879,30048,6816
19232,16832,2240,58111,11936,6848
18976,6080,2400,64512,30368,6752
19104,3456,2111,61183,30528,6816
19168,6240,2496,66751,12064,7680
18976,3488,2271,59296,30143,7711
19231,5824,2432,62944,30559,7711
18976,3391,2144,67040,12000,7712
19232,16672,2496,63008,30432,7680
19264,6272,2240,61056,29888,7713
19329,3488,2400,68224,12160,7681
19072,6048,2176,65728,30592,7680
19072,3520,2464,55584,30367,7007
19040,5953,2208,64448,12000,7039
19039,3424,2400,64672,30112,6976
19328,16703,2144,62623,30496,6944
19231,6240,2528,62015,11999,7040
19296,3488,2240,57440,29824,6944
19296,5952,2368,62208,30495,6944
19136,3424,2144,70208,12032,7008
19200,5920,2463,61920,30080,7680
18816,3456,2240,59040,30464,7712
19072,16704,2432,65824,12064,7744
19200,6144,2176,62016,30271,7680
19136,3456,2464,60831,30464,7744
19008,6112,2240,60608,11903,7711
19232,3488,2400,62848,30272,7680
19136,5696,2240,63360,30272,7712
19168,3424,2496,65920,12000,7040
19168,17408,2176,59264,30208,7008
19201,6272,2464,63168,30656,7040
19168,3456,2177,60256,12128,6975
19041,5984,2464,63103,30272,7040
19264,3456,2208,66719,30304,7008
18976,5792,2528,63807,12000,7008
19264,3423,2144,66400,30368,6976
18912,16895,2528,62272,30751,6976
19135,5952,2207,65311,12095,6944
19264,3424,2400,61151,30112,6976
19169,5984,2145,62784,30495,6944
19200,3425,2496,60255,12001,7008
19104,6080,2304,65952,30496,6976
19136,3457,2400,66752,30559,7008
19264,16800,2144,63551,12000,6944
19008,6208,2496,59776,30400,6944
18912,3456,2240,67583,30592,6816
19104,5856,2400,61792,11967,6816
19232,3424,2112,63520,30368,6816
18944,5920,2496,63808,30464,6816
19072,3392,2271,64799,12000,6945
19168,16512,2431,61951,30112,6816
19168,6080,2145,63872,30783,6816
19296,3552,2463,64287,11808,6944
19071,6080,2240,60287,30112,6976
19104,3456,2432,63872,30463,6976
19232,6112,2112,65344,12000,6912
18944,3424,2496,62176,30368,6976
19168,16608,2272,61568,30336,6944
19232,6176,2400,58975,11967,6976
19232,3488,2144,64895,29984,6912
19200,6080,2527,60352,30592,7040
19007,3456,2208,60319,12128,6976
19264,5888,2400,63232,30304,7040
19232,3489,2175,57919,30528,7008
19008,16800,2496,58208,12000,7007
19328,5920,2209,64320,30240,7008
19199,3456,2400,60928,30559,7071
19519,5983,2144,58880,11936,6976
19456,3424,2464,66431,30336,6623
19136,5920,2272,58784,30368,6560
19136,3425,2400,63423,12064,6624
19040,16607,2144,63968,30432,6624
19263,6016,2464,58080,30304,6592
18880,3424,2207,62176,12128,6656
19040,5984,2528,65791,30207,6656
19360,3487,2144,57952,30080,6656
19328,5856,2528,58624,12064,6656
19104,3424,2240,68863,30367,6688
19040,16608,2431,60960,30592,6688
19072,6080,2144,60768,12128,6688
19104,3489,2496,66464,30272,6688
19008,6080,2208,60160,30432,6688
19360,3424,2465,58175,11904,6656
19135,5888,2144,66879,30368,6688
19072,3456,2496,58784,30368,6943
18976,16448,2240,58784,11936,6976
19040,5952,2400,63520,30400,6912
19040,3489,2144,57952,30496,6944
19136,6336,2464,63167,12000,6944
19136,3488,2208,65376,30303,7040
19136,5568,2400,56384,30592,6944
18976,3424,2144,66847,12128,7040
19232,16608,2496,66079,30144,6880
19072,6208,2240,59327,30080,6816
19456,3488,2432,67583,12000,6816
19200,6176,2144,64192,30207,6784
19104,3424,2528,63520,30591,6752
19328,6048,2240,64288,12064,6816
19103,3456,2400,56672,30112,6848
19168,16608,2143,66495,30495,6784
19200,6560,2465,64415,12127,6943
19200,3488,2176,61407,30304,6976
19168,5824,2432,63296,30623,6976
19232,3424,2144,62783,12032,6976
19136,5792,2528,59200,30400,6944
19136,3456,2207,61823,30111,7008
19360,16672,2432,69311,12128,6976
19040,6432,2144,63232,30528,7040
19231,3488,2496,61119,30560,7007
19168,5920,2272,57855,11936,6880
19232,3456,2368,63775,30304,6943
19168,6112,2143,69760,30624,6976
19072,3456,2496,62464,12064,6944
19200,16352,2336,57919,30336,7040
19200,5984,2432,64576,30528,6944
19104,3456,2176,65951,12032,7008
19200,6272,2464,59904,30367,7744
19232,3425,2240,63904,30400,7680
19168,5729,2464,63808,12032,7712
19039,3424,2112,62624,30304,7712
19136,16864,2496,63040,30432,7712
19168,6016,2176,63775,12032,7712
19135,3425,2400,63200,30177,7680
18976,6079,2176,59968,30432,7713
19104,3392,2528,62464,12064,7040
19136,5856,2208,64735,30208,6976
19231,3456,2400,59679,30624,7008
19008,17249,2176,65312,12064,7008
19232,5920,2464,62176,30271,7008
19040,3424,2240,61952,30368,7008
19168,5920,2432,65215,12064,7008
19104,3520,2144,60159,30143,6976
19455,5856,2496,62048,30752,7008
19200,3423,2208,62400,11808,6944
19039,16640,2400,65408,30432,7007
19168,6176,2177,63200,30656,7008
19072,3456,2464,60223,12000,7008
19264,5888,2176,63872,30207,7008
19136,3488,2400,65120,30528,7040
19200,5632,2176,63711,12064,7008
19199,3489,2496,68896,30176,7743
19040,17056,2208,63487,30496,7711
19359,5984,2432,64063,12032,7776
19008,3488,2176,66016,30271,7711
19200,5856,2464,67967,30560,7776
19040,3456,2240,58912,12032,7776
19072,5793,2432,61599,29856,7744
19136,3392,2145,63968,30752,7744
19424,16320,2464,62304,11840,6976
18912,6016,2208,64576,30176,6943
19264,3424,2432,59264,30432,6944
19072,5951,2112,64159,11871,6944
19360,3488,2495,61408,30304,7008
19040,5824,2208,58559,30464,6944
19232,3424,2400,64448,12064,6976
19135,17056,2144,60256,30432,6944
19105,6048,2529,58144,30080,7040
18976,3424,2176,65984,12000,6976
19232,5920,2400,59199,30240,7040
19136,3424,2113,59008,30240,7008
19232,5824,2464,67424,12064,7040
19201,3424,2209,59551,30335,7008
19072,16448,2433,59776,30432,7040
19168,6144,2144,65824,12224,7008
19136,3456,2464,58399,30336,7008
19040,5984,2208,59776,30624,6976
19040,3424,2464,65408,12000,7039
19136,5791,2112,59968,30304,6976
19200,3488,2496,62720,30303,7072
19168,16672,2208,65920,12160,6976
19327,6176,2463,57920,30048,7040
19199,3424,2177,56703,30495,6976
19040,6048,2528,66720,12000,7072
19264,3456,2240,58848,30400,6976
19168,5792,2432,61216,30720,7040
19040,3456,2176,65024,12064,7008
19104,16608,2464,58271,30080,7040
19104,6080,2272,56575,30368,6976
19232,3488,2432,64480,12063,7040
19295,5984,2304,58880,30208,6976
19295,3488,2496,65664,30496,6880
19296,5856,2209,66208,12096,6880
19360,3424,2176,58400,30272,6944
19168,16800,2464,67968,30368,6880
19040,6272,2209,62208,12225,6880
19071,3520,2400,58496,30336,6880
19232,6143,2144,62911,30495,6911
19231,3488,2496,61408,12128,6848
19200,5728,2240,63904,30207,7808
19264,3360,2400,62560,30496,7809
18976,16896,2144,57120,11968,7872
19168,5888,2464,65856,30144,7839
19200,3488,2207,64480,30400,7840
19168,5888,2368,59007,11936,7871
19168,3456,2176,64703,30463,7808
19103,5568,2495,67424,30400,7809
19168,3424,2208,59103,12063,6656
19104,17216,2400,65024,30272,6689
19296,6112,2143,66591,30528,6689
19168,3424,2464,66656,12096,6624
18976,5983,2208,62656,29888,6688
19263,3392,2400,60447,30336,6656
19136,5856,2143,66528,12064,6656
19168,3455,2464,71936,30336,6656
19168,16864,2208,57919,30719,6656
19040,6080,2432,58431,12032,6624
19072,3455,2144,60704,30432,6687
19040,5824,2464,65280,30432,6689
19296,3488,2240,60096,12096,6688
19168,6048,2465,65408,30688,6592
19392,3456,2176,64128,30400,6720
19232,16736,2496,65152,12031,6720
19167,6177,2336,66464,30400,7008
19072,3456,2399,59200,30464,7008
19200,5952,2144,65888,12127,6976
19007,3393,2464,61312,30048,7008
18783,5727,2176,67072,30144,6976
19200,3424,2400,68063,12064,7008
18976,16767,2144,59648,30239,7008
19072,6208,2496,68415,30656,7008
19008,3456,2209,63071,12032,7007
19200,5889,2496,65055,30272,6945
18976,3456,2112,63487,30496,7008
19167,5888,2560,60415,11936,6912
19200,3488,2209,61952,30207,6976
19200,16320,2400,62143,30592,6944
19103,6048,2176,66047,12064,6975
18976,3423,2431,61632,30208,6943
19169,5856,2208,59007,30624,7008
18944,3423,2400,65184,12064,6976
19040,5760,2144,65824,30240,7007
19136,3488,2465,61440,30431,6976
18976,16704,2272,64607,11968,7008
19200,5984,2400,65376,30016,6976
19360,3488,2144,60768,30880,7008
19135,6112,2496,66624,12032,6912
19104,3456,2208,62591,30592,7712
18976,5825,2528,63135,30496,7712
19072,3424,2144,66816,12031,7712
19168,17024,2464,66592,30368,7712
19264,5824,2271,60096,30304,7680
19008,3456,2432,62464,12096,7680
19200,5985,2112,59456,30240,7711
19360,3424,2463,62560,30719,7584
19263,5760,2240,59647,12065,7039
19104,3424,2400,63776,30495,7072
19232,16768,2176,64352,30592,7040
19008,6272,2496,61055,11936,7040
18975,3456,2273,59552,30303,6912
19231,6112,2400,68576,30592,7072
19296,3488,2113,61696,11968,7040
19232,5920,2464,64384,30176,7040
19264,3424,2240,64768,30432,7040
19263,16352,2400,62944,12031,6976
19104,6111,2144,58880,30176,7040
19008,3392,2560,65119,30592,7007
19232,6368,2208,60160,12000,7008
19200,3424,2400,63295,30304,7007
19360,5696,2113,63711,30561,6976
19232,3424,2464,57568,12065,7008
19232,16864,2207,58848,30592,7680
19328,5888,2400,64192,30560,7712
19231,3456,2143,56896,12000,7712
19168,5984,2464,58240,30624,7648
19328,3456,2208,68767,30560,7712
18944,6240,2432,57760,11968,7712
19009,3360,2177,59584,30272,7712
18975,16640,2464,65344,30400,7680
19167,6336,2272,58719,12064,7680
19135,3487,2400,57248,30303,7744
19135,6047,2144,63807,30624,7713
19104,3424,2464,58303,12096,7712
19264,5888,2271,63744,30175,7713
19168,3392,2433,64480,30688,7711
19232,16800,2144,57888,12000,7680
19264,6016,2464,64640,30367,7712
19039,3424,2272,65055,30784,7008
19296,6144,2528,60096,12096,7008
19071,3456,2112,66688,29920,7071
19136,5823,2496,63359,30720,7072
19039,3424,2272,65471,12032,7008
19360,17120,2464,60255,30304,7040
18976,6112,2145,60736,30720,7072
19168,3424,2464,63295,12032,7040
19168,5888,2207,64896,30175,7648
19328,3456,2400,57855,30368,7649
19232,5761,2176,65279,12033,7648
19008,3424,2496,64960,30592,7680
19040,16672,2240,60768,30560,7681
19232,6176,2528,66496,12064,7680
18976,3488,2144,71263,30208,7648
18976,6048,2464,63552,30176,7648
19136,3520,2240,61376,11968,7009
19136,5984,2432,59936,30368,7008
19456,3425,2176,61696,30879,6976
19392,16928,2464,69696,11936,7040
19264,6048,2272,60736,30017,7008
19072,3520,2464,58144,30688,7040
19136,5952,2304,64480,11903,7040
19232,3392,2464,65408,30464,7073
19328,5888,2176,60768,30528,7776
19072,3520,2432,65439,12064,7776
19232,16512,2143,62752,30176,7776
19360,6208,2464,63520,30431,7776
19264,3457,2208,63135,12031,7744
19167,6080,2400,62528,30240,7744
19264,3424,2112,66496,30399,7808
19328,5888,2464,60575,11936,7744
19296,3392,2240,62048,30337,6944
18976,16480,2432,63200,30656,7008
19360,6112,2144,60767,11968,6944
18944,3456,2496,63679,30240,6975
19072,6144,2272,62304,30432,6944
19103,3456,2400,65855,12065,6976
19264,5952,2177,61471,30432,6912
19296,3487,2464,63615,30528,7008
19199,16896,2176,61631,12160,6976
19071,6048,2400,68864,30080,7008
19167,3520,2177,67679,30784,7040
19296,6239,2464,63712,12000,7040
19295,3392,2208,57823,30208,7040
19200,5760,2400,65888,30463,7008
19103,3456,2144,61375,12096,6976
19231,16352,2465,61247,30239,7040
18880,6113,2208,65376,30432,6847
19167,3424,2400,63007,12096,6720
19200,5888,2112,61407,30208,6816
19232,3456,2496,67615,30496,6752
19071,5856,2208,63168,12032,6720
19168,3456,2527,62047,30624,6720
19168,16832,2176,67583,30496,6720
19007,6111,2529,65215,12064,6784
18976,3456,2176,63168,30048,6976
19136,6080,2432,64768,30464,7040
19328,3552,2176,59615,11968,6944
18976,5920,2496,65375,30368,7008
19264,3456,2208,56544,31007,6976
19104,16928,2399,56288,12095,6976
19008,6240,2144,69344,30304,6976
19136,3425,2464,57664,30560,6976
19360,6112,2208,58144,11872,7743
19136,3424,2432,65280,30336,7808
18912,5920,2144,57759,30784,7744
19104,3520,2560,59104,12000,7776
19264,16640,2272,64992,30272,7776
19232,6144,2432,60416,30368,7744
19040,3551,2112,59359,11968,7743
18912,6048,2529,61600,30112,7776
19040,3488,2208,58720,30688,7744
19200,5856,2400,59840,12000,7712
19360,3424,2176,66176,30464,7712
18944,16576,2529,57920,30303,7712
19071,6368,2208,60224,12032,7776
19232,3423,2400,66432,30240,7744
19232,5920,2176,59103,30560,7712
19296,3456,2464,61120,12096,7744
19008,5792,2271,61535,30112,7040
18944,3488,2432,61952,30368,6944
19231,16576,2144,58016,12032,6976
19040,6112,2496,67775,30176,6944
19168,3456,2240,60320,30816,6976
19200,6304,2400,61119,12128,6944
18976,3424,2176,63327,30079,7040
19264,5824,2464,59264,30688,6944
19392,3424,2367,64831,11999,7744
19040,17312,2400,68255,30367,7744
19136,6272,2145,60032,30528,7584
19103,3456,2112,65088,11936,7776
19168,6368,2464,65280,30047,7744
19295,3424,2144,60160,30400,7712
19232,5856,2464,61951,12000,7744
18943,3456,2272,59232,30400,7712
18976,17312,2400,62751,30432,6912
19200,6143,2144,63936,11840,6944
19392,3424,2464,62944,30368,6816
19296,5888,2240,63263,30592,6944
19136,3424,2432,62592,12032,6976
19136,6112,2177,58144,30143,6976
19392,3456,2464,65727,30272,6944
19040,16480,2271,67488,12032,6816
19071,5984,2400,62559,30432,7040
18975,3424,2175,63903,30335,7009
19039,5856,2464,69856,12032,7040
19200,3424,2240,63200,30048,6976
19072,5792,2433,61312,30368,7008
19264,3488,2144,59679,12032,7072
19328,16928,2528,65376,30144,7039
19072,6112,2176,67231,30592,7008
19456,3488,2400,57407,12064,6944
19232,6176,2144,63455,29952,6816
19296,3424,2464,64064,30624,6720
19200,5920,2240,61248,11808,6751
19168,3424,2432,63584,30112,6752
19104,17248,2176,62528,30720,6720
19327,6112,2496,63936,12000,6720
19264,3489,2209,64383,30144,6688
19200,5984,2368,65599,30720,7040
19169,3488,2272,60608,12064,7072
19103,5984,2464,65504,30111,7039
19039,3488,2240,60159,30240,7040
19200,16736,2400,66432,12064,7040
19360,6112,2112,64959,30303,7040
19296,3520,2432,63552,30208,7040
19167,6144,2176,62656,11872,7040
19167,3424,2400,64288,30367,7008
19136,5728,2111,63455,30560,6944
19168,3456,2465,64384,12032,6944
19264,16545,2208,62496,30080,6912
19135,5984,2400,63807,30368,6976
19231,3424,2176,67936,12096,6945
18912,5760,2463,65056,30176,6944
19424,3456,2208,65312,30655,6944
19360,5792,2400,60640,12000,7840
19168,3424,2112,64640,30240,7840
19104,16768,2496,65215,30496,7808
19232,6080,2208,62687,11903,7872
19200,3456,2369,64608,30367,7839
19168,6208,2112,64575,30432,7872
19360,3456,2496,64735,12064,7840
19199,5983,2240,68159,30272,7840
19136,3456,2400,65600,30495,6976
19424,16896,2112,60928,12063,6944
19232,6176,2464,67584,30304,6976
19169,3392,2240,65728,30207,6944
19392,6080,2400,60640,12064,7008
18848,3456,2112,66048,30496,6911
19263,5951,2464,62527,30528,7008
19104,3456,2240,65056,12192,6912
19168,17024,2368,58528,30175,7712
19296,6336,2143,58560,30432,7744
19296,3488,2464,64416,12064,7744
19040,5792,2208,59136,30207,7712
19168,3488,2400,58784,30528,7808
19008,5824,2145,64735,11968,7712
19040,3456,2496,60864,30464,7712
19136,17248,2208,60927,30688,7776
19167,6145,2400,63520,12064,6912
19424,3551,2111,59967,30176,6719
19103,6048,2464,59872,30560,6784
19072,3488,2208,65216,12064,6848
19200,5760,2369,57951,30368,6720
18943,3424,2144,57343,30528,6720
19168,16416,2496,70048,12032,6816
18976,6432,2240,58080,30400,6751
19296,3520,2368,60319,30656,7808
19008,5920,2112,65887,12000,7776
19391,3424,2464,60384,30560,7776
19136,5792,2208,57407,30624,7776
19359,3456,2399,64991,11968,7776
19104,16928,2144,61280,30272,7648
19264,6336,2464,61216,30399,7776
19392,3520,2208,67296,12064,7776
19103,5824,2496,57568,30112,6912
19232,3424,2176,57792,30560,7008
19136,6144,2464,66176,11936,6943
19232,3392,2207,60576,30176,6975
19264,17024,2400,66623,30240,6943
19391,6080,2144,65024,12001,7008
19136,3488,2464,59680,30240,6944
19328,6176,2240,63455,30528,6976
19039,3424,2401,64895,12096,7872
19104,5664,2112,58687,30144,7808
19105,3457,2463,66272,30463,7840
19232,16864,2208,63104,12000,7808
19263,5984,2432,63168,30240,7840
19200,3520,2144,60383,30752,7808
18944,6016,2463,60288,12064,7808
19168,3456,2176,65152,30336,7840
19456,5888,2400,62784,30304,7008
19232,3456,2144,59199,12032,7072
19200,17120,2464,64159,29952,6976
19168,6016,2176,67616,30048,7073
19232,3456,2400,57472,12064,6976
19424,5984,2112,61215,30400,7073
18944,3456,2464,71136,30944,7007
18944,6112,2240,63008,12000,7039
19008,3456,2400,61088,30496,6944
19104,16288,2112,60191,30527,6976
19104,6048,2496,64895,11936,6976
19104,3488,2209,69536,30399,7008
19168,5889,2400,62079,30432,7008
19168,3424,2112,59552,12000,7008
19168,5888,2464,64192,29888,6944
19040,3392,2305,63167,29952,7008
19520,16672,2400,61312,12096,7808
19264,6112,2112,67135,30176,7808
19359,3424,2496,62208,30432,7840
18975,5919,2207,62655,12032,7840
19200,3456,2400,66559,30272,7808
19168,5984,2112,59072,30560,7840
18975,3456,2464,62976,12064,7808
19232,16512,2208,59488,30176,7904
19104,5984,2400,65504,30528,6881
19232,3424,2144,64831,12064,6784
19200,6304,2464,62143,30112,6879
18976,3424,2209,64352,30496,6880
18976,6176,2400,62239,12000,6752
19264,3424,2176,62431,30464,6752
19168,16992,2464,65600,30656,6752
19136,6112,2208,65248,11936,6720
19200,3424,2399,62208,30239,7808
19328,5984,2176,65728,30943,7872
19008,3424,2464,67039,12065,7840
19359,5983,2208,63744,30368,7840
19167,3488,2400,59680,30335,7840
19007,16096,2112,67839,12032,7840
19232,6207,2495,64672,30336,7840
19136,3456,2208,63903,30560,7840
19168,5792,2432,64544,12032,6624
19105,3456,2112,63680,30303,6592
19200,6144,2464,60704,30592,6656
19200,3424,2177,67359,12032,6656
19296,16800,2400,63840,30592,6624
19104,6336,2144,61183,30335,6624
19168,3487,2432,62303,11936,6656
19104,5951,2176,64704,30272,6689
19168,3488,2495,64096,30720,6975
19104,5760,2144,62112,11872,6816
19040,3424,2432,59423,30239,6816
19232,16800,2176,68703,30560,6784
19296,6048,2432,60160,12064,6945
19264,3553,2176,61312,30463,6849
19328,6048,2528,62175,30400,6816
19232,3488,2176,59904,12000,6848
19040,5856,2496,57792,30368,6944
19168,3457,2144,67711,30368,6784
19168,16480,2431,61024,12000,6752
19328,6272,2176,60991,30335,6752
18976,3456,2400,62432,30816,6752
19136,6049,2112,58656,12000,6752
19168,3520,2463,59103,30432,6816
19040,5792,2176,72032,30559,6783
19232,3456,2433,57312,12064,7680
19200,16864,2112,60191,30144,7712
18880,6144,2432,63007,30816,7680
19168,3424,2208,58816,11904,7744
19008,5920,2400,58879,30272,7680
19200,3489,2112,65215,30751,7712
19231,5727,2464,58944,12032,7680
19072,3424,2208,58432,30176,7744
18911,16832,2400,68512,30271,7040
18944,6272,2112,62848,12096,7008
19136,3520,2464,63200,30303,7072
19168,6112,2240,64447,30464,7040
19488,3360,2464,59168,11968,7072
19264,6016,2176,56000,30272,7039
19360,3424,2432,63840,30335,7072
19104,17247,2240,58976,12160,7008
19008,6240,2400,67584,30337,6912
19232,3456,2240,64480,30752,6752
19040,6144,2464,57216,12032,6752
19008,3455,2208,64192,30240,6752
19104,5696,2175,63008,30272,6720
19263,3488,2464,58911,12064,6752
19104,17024,2240,65376,30176,6720
19232,6401,2432,67359,30624,6720
19199,3488,2144,68864,12000,7712
19200,6528,2464,62783,30272,7680
19264,3520,2240,59519,30880,7680
18976,5888,2400,65792,12096,7744
19104,3392,2144,63871,30239,7744
18848,16736,2495,58784,30784,7776
19135,6273,2208,63680,12000,7712
19296,3488,2495,65248,30432,7712
19136,5952,2176,62239,30207,6816
19168,3488,2464,62911,11999,6816
19104,5888,2240,68672,30272,6688
19008,3423,2400,63648,30559,6688
19232,16352,2112,64032,12032,6720
19168,6049,2431,58624,30399,6752
19232,3456,2208,64288,30944,6720
19041,5952,2399,72799,12128,6719
19167,3391,2144,58335,30016,6943
19168,5889,2464,58752,30560,6944
19200,3392,2208,63392,12000,6943
19040,16992,2432,63999,30368,7007
18912,5984,2112,59680,30304,6943
19168,3520,2433,62463,12064,6976
19136,5888,2208,61663,30176,6945
19200,3424,2368,63072,30464,6976
18976,5855,2144,65952,12000,6912
19328,3424,2464,61696,30111,7008
19104,16672,2336,60000,30560,6944
